period,n,overall_mean,en_mean,zh_mean,long_24k_plus_mean,deep_70_plus_mean
1,22,9.0909,9.0909,9.0909,9.0909,25.0000
2,22,9.0909,9.0909,9.0909,9.0909,25.0000
4,22,9.0909,9.0909,9.0909,9.0909,25.0000
8,22,9.0909,9.0909,9.0909,9.0909,25.0000
12,22,9.0909,9.0909,9.0909,9.0909,25.0000
16,22,9.0909,9.0909,9.0909,9.0909,25.0000
