dataset,ep1,ep2,ep4,ep8,ep12,ep16
Length1000Depth0_origin_en_32k,100.00,100.00,100.00,100.00,100.00,100.00
Length1000Depth0_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length1000Depth100_origin_en_32k,100.00,100.00,100.00,100.00,100.00,100.00
Length1000Depth100_origin_zh_32k,100.00,100.00,100.00,100.00,100.00,100.00
Length1000Depth10_origin_en_32k,100.00,100.00,100.00,100.00,100.00,100.00
Length1000Depth10_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length1000Depth20_origin_en_32k,100.00,100.00,100.00,100.00,100.00,100.00
Length1000Depth20_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length1000Depth30_origin_en_32k,100.00,100.00,100.00,100.00,100.00,100.00
Length1000Depth30_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length1000Depth40_origin_en_32k,100.00,100.00,100.00,100.00,100.00,100.00
Length1000Depth40_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length1000Depth50_origin_en_32k,100.00,100.00,100.00,100.00,100.00,100.00
Length1000Depth50_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length1000Depth60_origin_en_32k,100.00,100.00,100.00,100.00,100.00,100.00
Length1000Depth60_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length1000Depth70_origin_en_32k,100.00,100.00,100.00,100.00,100.00,100.00
Length1000Depth70_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length1000Depth80_origin_en_32k,100.00,100.00,100.00,100.00,100.00,100.00
Length1000Depth80_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length1000Depth90_origin_en_32k,100.00,100.00,100.00,100.00,100.00,100.00
Length1000Depth90_origin_zh_32k,100.00,100.00,100.00,100.00,100.00,100.00
Length12000Depth0_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length12000Depth0_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length12000Depth100_origin_en_32k,100.00,100.00,100.00,100.00,100.00,100.00
Length12000Depth100_origin_zh_32k,100.00,100.00,100.00,100.00,100.00,100.00
Length12000Depth10_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length12000Depth10_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length12000Depth20_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length12000Depth20_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length12000Depth30_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length12000Depth30_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length12000Depth40_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length12000Depth40_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length12000Depth50_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length12000Depth50_origin_zh_32k,0.00,0.00,0.00,0.00,0.00,0.00
Length12000Depth60_origin_en_32k,0.00,0.00,0.00,0.00,0.00,0.00
