period,n,overall_mean,en_mean,zh_mean,long_24k_plus_mean,deep_70_plus_mean
1,198,14.6465,19.1919,10.1010,9.0909,30.5556
2,198,14.6465,19.1919,10.1010,9.0909,30.5556
4,198,14.6465,19.1919,10.1010,9.0909,30.5556
8,198,14.6465,19.1919,10.1010,9.0909,30.5556
12,198,14.6465,19.1919,10.1010,9.0909,30.5556
16,198,14.6465,19.1919,10.1010,9.0909,30.5556
