sim_id,context_turn,total_msgs,msg_idx,msg_dist,asst_turns_dist,role,fine_role,attn_mean,attn_sum,token_count,seq_len,attn_frac,src_file
8bdffbc4-e3d,2,12,0,2,1,assistant,asst_greeting,0.021009737697669253,0.18908763927902328,9,71,0.18908764026790084,stress_baseline_1x10_task10_1st
8bdffbc4-e3d,2,12,1,1,0,user,user_msg,0.008563963581822933,0.2654828710365109,31,71,0.26548287242491503,stress_baseline_1x10_task10_1st
8bdffbc4-e3d,2,12,2,0,0,assistant,asst_gen,0.01759449949850756,0.5454294844537344,31,71,0.5454294873061841,stress_baseline_1x10_task10_1st
8bdffbc4-e3d,4,12,0,4,2,assistant,asst_greeting,0.012662823720448715,0.11396541348403844,9,166,0.11396541428939592,stress_baseline_1x10_task10_1st
8bdffbc4-e3d,4,12,1,3,1,user,user_msg,0.005596841588422032,0.173502089241083,31,166,0.17350209046716736,stress_baseline_1x10_task10_1st
8bdffbc4-e3d,4,12,2,2,1,assistant,asst_gen,0.007195740628136968,0.223067959472246,31,166,0.22306796104859664,stress_baseline_1x10_task10_1st
8bdffbc4-e3d,4,12,3,1,0,user,user_msg,0.00211905796715976,0.03602398544171592,17,166,0.03602398569628602,stress_baseline_1x10_task10_1st
8bdffbc4-e3d,4,12,4,0,0,assistant,asst_gen,0.005813340324272222,0.4534405452932333,78,166,0.45344054849755405,stress_baseline_1x10_task10_1st
8bdffbc4-e3d,6,12,0,6,3,assistant,asst_greeting,0.009420854035043804,0.08478768631539424,9,253,0.08478768658889288,stress_baseline_1x10_task10_1st
8bdffbc4-e3d,6,12,1,5,2,user,user_msg,0.002540699555611941,0.07876168622397017,31,253,0.07876168647803082,stress_baseline_1x10_task10_1st
8bdffbc4-e3d,6,12,2,4,2,assistant,asst_gen,0.003393269133114025,0.10519134312653478,31,253,0.10519134346584925,stress_baseline_1x10_task10_1st
8bdffbc4-e3d,6,12,3,3,1,user,user_msg,0.0008932412533862161,0.015185101307565674,17,253,0.015185101356548077,stress_baseline_1x10_task10_1st
8bdffbc4-e3d,6,12,4,2,1,assistant,asst_gen,0.0016169557955119894,0.12612255204993517,78,253,0.1261225524567672,stress_baseline_1x10_task10_1st
8bdffbc4-e3d,6,12,5,1,0,user,user_msg,0.0012328909460444194,0.023424927974843968,19,253,0.023424928050405483,stress_baseline_1x10_task10_1st
8bdffbc4-e3d,6,12,6,0,0,assistant,asst_gen,0.008331274996692173,0.5665266997750678,68,253,0.5665267016025063,stress_baseline_1x10_task10_1st
