score_mode,fine_role,samples,reactivated_messages,reactivated_as_heavy_messages,avg_kept_fraction,avg_heavy_kept_fraction
role_decay,asst_gen,4595,0,183,0.04129422963629741,0.035927662372553425
role_decay,asst_greeting,360,0,41,0.9328282828282828,0.8333333333333334
role_decay,asst_tool_call,135,0,31,0.2732554000127373,0.27278545517543024
role_decay,user_msg,5090,1,91,0.058414473132199204,0.02150730285638627
zero,asst_gen,4595,0,194,0.043097447849104964,0.0378125890774619
zero,asst_greeting,360,0,40,0.47676767676767673,0.11666666666666667
zero,asst_tool_call,135,0,11,0.08420090045211515,0.08380708667835884
zero,user_msg,5090,0,235,0.0696829827385741,0.046499894531001236
