score_mode,fine_role,assistant_turn_distance,samples,kept_fraction_mean,heavy_kept_fraction_mean,score_sum_mean,reactivated_messages,reactivated_as_heavy_messages
role_decay,asst_gen,0,320,0.8845802198003486,0.12215015819477308,29.541030126810075,0,0
role_decay,asst_gen,1,281,0.6708838674652455,0.5841289686150546,15.377845046359026,0,180
role_decay,asst_gen,2,251,0.004894894107779408,0.003774376179492556,8.149330936105128,0,3
role_decay,asst_gen,3,221,0.0,0.0,4.409303865821113,0,0
role_decay,asst_gen,4,190,0.0,0.0,2.577947639164172,0,0
role_decay,asst_gen,5,162,0.0,0.0,1.528529030305368,0,0
role_decay,asst_gen,6,148,0.0,0.0,0.9110024188821381,0,0
role_decay,asst_gen,7,141,0.0,0.0,0.5409620121015725,0,0
role_decay,asst_gen,8,132,0.0,0.0,0.31015893591172766,0,0
role_decay,asst_gen,9,125,0.0,0.0,0.17620725095272063,0,0
role_decay,asst_gen,10,119,0.0,0.0,0.10076352781733545,0,0
role_decay,asst_gen,11,114,0.0,0.0,0.05822133338242246,0,0
role_decay,asst_gen,12,108,0.0,0.0,0.034453542351170825,0,0
role_decay,asst_gen,13,103,0.0,0.0,0.02039062401768073,0,0
role_decay,asst_gen,14,99,0.0,0.0,0.012074572137660451,0,0
role_decay,asst_gen,15,97,0.0,0.0,0.0070878665980681314,0,0
role_decay,asst_gen,16,95,0.0,0.0,0.004163122684449742,0,0
role_decay,asst_gen,17,93,0.0,0.0,0.0024439140613521297,0,0
role_decay,asst_gen,18,91,0.0,0.0,0.001435353890173956,0,0
role_decay,asst_gen,19,89,0.0,0.0,0.0008426562381327529,0,0
role_decay,asst_gen,20,87,0.0,0.0,0.0004950247182451917,0,0
role_decay,asst_gen,21,85,0.0,0.0,0.0002906353199197089,0,0
role_decay,asst_gen,22,83,0.0,0.0,0.00017072531150609074,0,0
role_decay,asst_gen,23,81,0.0,0.0,0.00010024260673499493,0,0
role_decay,asst_gen,24,79,0.0,0.0,5.890099271686889e-05,0,0
role_decay,asst_gen,25,77,0.0,0.0,3.458735534570531e-05,0,0
role_decay,asst_gen,26,75,0.0,0.0,2.0322035816207062e-05,0,0
role_decay,asst_gen,27,73,0.0,0.0,1.1934578913197795e-05,0,0
role_decay,asst_gen,28,71,0.0,0.0,7.014575267405721e-06,0,0
role_decay,asst_gen,29,69,0.0,0.0,4.1199964602972194e-06,0,0
role_decay,asst_gen,30,67,0.0,0.0,2.4214882682487645e-06,0,0
role_decay,asst_gen,31,65,0.0,0.0,1.4224648076868527e-06,0,0
role_decay,asst_gen,32,63,0.0,0.0,8.363830271184905e-07,0,0
role_decay,asst_gen,33,61,0.0,0.0,4.91409908408223e-07,0,0
role_decay,asst_gen,34,59,0.0,0.0,2.8894780642739365e-07,0,0
role_decay,asst_gen,35,57,0.0,0.0,1.6980547581680552e-07,0,0
role_decay,asst_gen,36,55,0.0,0.0,9.98978576789837e-08,0,0
role_decay,asst_gen,37,53,0.0,0.0,5.872290427507049e-08,0,0
role_decay,asst_gen,38,51,0.0,0.0,3.455106423189136e-08,0,0
role_decay,asst_gen,39,49,0.0,0.0,2.0316896156376813e-08,0,0
role_decay,asst_gen,40,47,0.0,0.0,1.1962511227455282e-08,0,0
role_decay,asst_gen,41,45,0.0,0.0,7.037318076423086e-09,0,0
role_decay,asst_gen,42,43,0.0,0.0,4.144710533438787e-09,0,0
role_decay,asst_gen,43,41,0.0,0.0,2.4395975104561686e-09,0,0
role_decay,asst_gen,44,39,0.0,0.0,1.4383384341115493e-09,0,0
role_decay,asst_gen,45,37,0.0,0.0,8.4724588831173e-10,0,0
role_decay,asst_gen,46,35,0.0,0.0,4.998355213852486e-10,0,0
role_decay,asst_gen,47,33,0.0,0.0,2.9472023811326733e-10,0,0
role_decay,asst_gen,48,31,0.0,0.0,1.741700305485193e-10,0,0
role_decay,asst_gen,49,29,0.0,0.0,1.0284445349937256e-10,0,0
role_decay,asst_gen,50,27,0.0,0.0,6.086740268186053e-11,0,0
role_decay,asst_gen,51,25,0.0,0.0,3.601642956096995e-11,0,0
role_decay,asst_gen,52,23,0.0,0.0,2.1386965077843776e-11,0,0
role_decay,asst_gen,53,21,0.0,0.0,1.2697044556626252e-11,0,0
role_decay,asst_gen,54,19,0.0,0.0,7.569665152371446e-12,0,0
role_decay,asst_gen,55,17,0.0,0.0,4.565876896848926e-12,0,0
role_decay,asst_gen,56,15,0.0,0.0,2.7298079884515345e-12,0,0
role_decay,asst_gen,57,13,0.0,0.0,1.6421020276052643e-12,0,0
role_decay,asst_gen,58,11,0.0,0.0,9.987620367149824e-13,0,0
role_decay,asst_gen,59,9,0.0,0.0,6.31345953285089e-13,0,0
role_decay,asst_gen,60,7,0.0,0.0,4.19114870304875e-13,0,0
role_decay,asst_gen,61,5,0.0,0.0,2.3429505948205365e-13,0,0
role_decay,asst_gen,62,3,0.0,0.0,8.96899945263506e-14,0,0
