cohort,method,sink,window,heavy,total_budget,runs,success_rate_mean,success_rate_std,timeout_rate_mean,timeout_rate_std,avg_duration_s_mean,avg_turns_mean
old30,baseline,,,,,4,0.3333333333333333,0.0,0.075,0.016666666666666673,283.72148421389574,23.325000000000003
old30,h2o,4.0,32.0,32.0,68.0,1,0.2,0.0,0.26666666666666666,0.0,464.16407918469434,36.7
old30,h2o,4.0,32.0,64.0,100.0,1,0.2,0.0,0.3,0.0,487.0077014556271,45.56666666666667
old30,h2o,4.0,64.0,32.0,100.0,1,0.23333333333333334,0.0,0.13333333333333333,0.0,448.66626025895044,38.6
old30,h2o,4.0,64.0,64.0,132.0,1,0.3,0.0,0.13333333333333333,0.0,368.26979888232114,35.833333333333336
old30,h2o,4.0,32.0,128.0,164.0,1,0.2,0.0,0.2,0.0,385.75393297377354,39.833333333333336
old30,h2o,4.0,128.0,32.0,164.0,1,0.23333333333333334,0.0,0.1,0.0,333.0214665580677,27.7
old30,h2o,4.0,64.0,128.0,196.0,1,0.26666666666666666,0.0,0.2,0.0,392.7491967296034,40.0
old30,h2o,4.0,128.0,64.0,196.0,1,0.26666666666666666,0.0,0.13333333333333333,0.0,342.36035647036624,29.8
old30,h2o,4.0,128.0,128.0,260.0,1,0.3,0.0,0.03333333333333333,0.0,281.9382428968364,25.033333333333335
old30,h2o,4.0,32.0,256.0,292.0,1,0.23333333333333334,0.0,0.2,0.0,393.15640117339404,40.46666666666667
old30,h2o,4.0,256.0,32.0,292.0,1,0.3333333333333333,0.0,0.0,0.0,266.05621323759743,22.2
old30,h2o,4.0,64.0,256.0,324.0,1,0.3,0.0,0.06666666666666667,0.0,308.5265657521668,27.933333333333334
old30,h2o,4.0,256.0,64.0,324.0,1,0.3333333333333333,0.0,0.0,0.0,236.12821196613368,21.733333333333334
old30,h2o,4.0,128.0,256.0,388.0,1,0.3,0.0,0.0,0.0,264.43850629590645,27.133333333333333
old30,h2o,4.0,256.0,128.0,388.0,1,0.3333333333333333,0.0,0.0,0.0,233.37757111225898,20.066666666666666
old30,h2o,4.0,256.0,256.0,516.0,1,0.3333333333333333,0.0,0.03333333333333333,0.0,240.04612967283464,23.066666666666666
old30,h2o,4.0,512.0,32.0,548.0,2,0.31666666666666665,0.02357022603955158,0.03333333333333333,0.0,248.19921612928448,21.333333333333336
old30,h2o,4.0,512.0,64.0,580.0,2,0.3,0.0,0.016666666666666666,0.023570226039551584,242.00393652805263,22.25
old30,h2o,4.0,512.0,128.0,644.0,2,0.3333333333333333,0.0,0.03333333333333333,0.04714045207910317,248.74377702994872,21.316666666666666
old30,h2o,4.0,512.0,256.0,772.0,2,0.3333333333333333,0.0,0.016666666666666666,0.023570226039551584,271.54653984916513,22.416666666666668
old30,h2o,4.0,1024.0,64.0,1092.0,1,0.3333333333333333,0.0,0.03333333333333333,0.0,214.22116322079674,18.233333333333334
old30,streamingllm,4.0,32.0,0.0,36.0,1,0.13333333333333333,0.0,0.43333333333333335,0.0,573.5350169678607,30.433333333333334
old30,streamingllm,4.0,64.0,0.0,68.0,1,0.13333333333333333,0.0,0.3,0.0,488.5757198860054,21.166666666666668
old30,streamingllm,4.0,128.0,0.0,132.0,1,0.2,0.0,0.16666666666666666,0.0,345.65578004553294,16.366666666666667
old30,streamingllm,4.0,256.0,0.0,260.0,1,0.3,0.0,0.03333333333333333,0.0,299.2721702568039,15.433333333333334
old30,streamingllm,4.0,512.0,0.0,516.0,2,0.3,0.0,0.0,0.0,273.63199848204385,14.1
old30,streamingllm,4.0,1024.0,0.0,1028.0,1,0.3333333333333333,0.0,0.0,0.0,258.34941520653473,14.333333333333334
