sim_id,context_turn,total_msgs,msg_idx,msg_dist,asst_turns_dist,role,fine_role,attn_mean,attn_sum,token_count,seq_len,attn_frac,src_file
8bdffbc4-e3d,2,12,0,2,1,assistant,asst_greeting,0.02090310245855815,0.18812792212702334,9,71,0.18814728565601618,stress_baseline_1x10_task10_1st
8bdffbc4-e3d,2,12,1,1,0,user,user_msg,0.008533579960532089,0.26454097877649474,31,71,0.2645682073072435,stress_baseline_1x10_task10_1st
8bdffbc4-e3d,2,12,2,0,0,assistant,asst_gen,0.017652522007401493,0.5472281822294462,31,71,0.5472845070357403,stress_baseline_1x10_task10_1st
8bdffbc4-e3d,4,12,0,4,2,assistant,asst_greeting,0.012612572444292406,0.11351315199863166,9,166,0.11351066762357151,stress_baseline_1x10_task10_1st
8bdffbc4-e3d,4,12,1,3,1,user,user_msg,0.005593839050561655,0.17340901056741131,31,166,0.1734052152977578,stress_baseline_1x10_task10_1st
8bdffbc4-e3d,4,12,2,2,1,assistant,asst_gen,0.007181190101208256,0.22261689313745592,31,166,0.22261202089272006,stress_baseline_1x10_task10_1st
8bdffbc4-e3d,4,12,3,1,0,user,user_msg,0.002114605948650826,0.03594830112706404,17,166,0.03594751435424343,stress_baseline_1x10_task10_1st
8bdffbc4-e3d,4,12,4,0,0,assistant,asst_gen,0.0058273657676718126,0.45453452987840137,78,166,0.45452458183070715,stress_baseline_1x10_task10_1st
8bdffbc4-e3d,6,12,0,6,3,assistant,asst_greeting,0.009386126828354059,0.08447514145518653,9,253,0.08447816932005638,stress_baseline_1x10_task10_1st
8bdffbc4-e3d,6,12,1,5,2,user,user_msg,0.0025311539685654062,0.0784657730255276,31,253,0.07846858549501314,stress_baseline_1x10_task10_1st
8bdffbc4-e3d,6,12,2,4,2,assistant,asst_gen,0.003410083937436162,0.10571260206052102,31,253,0.10571639114531645,stress_baseline_1x10_task10_1st
